Hash,Ply,GamePly,FEN,HasCastled,Eval,Result
00B31FDF12F4BEAF,71,135,8/p4p1p/3pr3/2p3k1/3p4/1P3K2/P2R3P/3N4 b - - 7 36,3,-109,0.5
3353313D24E0D030,38,117,r4rk1/1p3p1p/3ppnpQ/p1p2q2/2Pn4/P1NP1BP1/1P2PPKP/1R2R3 w - - 0 20,3,73,0.5
40843A7B28550C7F,154,205,8/8/p7/P4k2/8/8/8/1K6 w - - 0 78,3,29,0.5
C8CF0924E9EEF04D,65,118,3r1rk1/6bp/pR3pp1/2pN4/P1P1P1b1/2B1R3/5P1P/6K1 b - - 0 33,3,255,1.0
747A3423CC9E8FA4,101,116,7R/4r3/8/PP1k4/4p3/8/7P/6K1 b - - 0 51,3,446,1.0
1B11854BD9A9B59B,31,55,r1b1k2r/1p2bppp/8/p2p4/P2P4/R4N2/1P3PPP/2B1R1K1 b kq - 1 16,1,40,0.5
685D5166A886D841,38,113,r4rk1/1b1q1ppp/pp3b2/3p4/nP1N4/B5P1/P2QPPBP/2RR2K1 w - - 0 20,3,63,1.0
AFE47A96278F78D2,45,116,3n2rr/p1p1kp2/1p1pb3/7p/PP1PP1nN/2P5/3NB3/2K2R1R b - b3 0 23,1,14,1.0
BEB0E71103263F5E,66,163,6k1/5p1b/5p2/R4P2/1p4Pp/4PK1P/P1r1B3/8 w - - 0 34,2,268,1.0
B24F35FF270F9412,38,122,4r1k1/1pp2ppp/1b4q1/pP1Pr3/4N3/2P2Q2/1P2RPPP/R5K1 w - - 3 20,3,130,1.0
06AD8953409B1C6F,104,117,8/8/3b1Bp1/3k1p2/5p2/1P1K3P/6P1/8 w - - 3 53,3,55,0.5
4F50792E03D58905,56,165,8/5pbk/p2q2pp/2pB4/2Pn1P2/P2Q2PP/3Br3/1R4K1 w - - 2 29,3,-17,0.5
5885FD3AD5F1CCA5,20,96,r1q1k2r/p1pp1pp1/bp2pn1p/n7/Q1PPP3/P1P1BP2/6PP/R3KBNR w KQkq - 2 11,0,37,0.5
706ACA8F0BB69186,43,166,r3qrk1/pp4b1/2p1n2p/3p4/6QP/2P3B1/PP2N1P1/2KR3R b - - 0 22,3,-71,0.5
840F91E76B8580ED,89,109,3B2k1/p7/P1Nb1r2/2p1p2p/3pK3/3P2P1/1P6/8 b - - 3 45,3,-243,0.0
3CFEA8519D73CD0E,56,108,8/2p1k2p/pr2p1p1/1r6/7P/2P3P1/RP2RPK1/8 w - - 0 29,1,53,0.5
